RAJ2000	DEJ2000
01 31 52.49	+30 43 24.5
01 31 52.57	+31 13 13.9
01 31 52.59	+30 00 17.2
01 31 52.75	+30 40 11.6
01 31 52.81	+31 04 17.2
01 31 52.85	+30 13 58.7
01 31 52.96	+31 03 52.2
01 31 53.03	+30 24 29.8
01 31 53.08	+31 12 52.7
01 31 53.20	+30 06 54.2
01 31 53.22	+30 58 57.2
01 31 53.23	+29 48 26.0
01 31 53.47	+30 43 26.5
01 31 54.03	+29 48 52.1
01 31 54.45	+30 50 41.7
01 31 54.51	+29 53 09.7
01 31 54.56	+30 25 39.8
01 31 54.83	+30 17 10.8
01 31 54.93	+30 57 46.3
01 31 54.93	+31 27 19.6
01 31 55.18	+30 17 16.8
01 31 55.45	+31 19 28.5
01 31 55.61	+30 52 48.9
01 31 55.67	+31 17 07.9
01 31 55.85	+31 28 42.3
01 31 55.91	+31 20 07.9
01 31 55.97	+30 55 53.9
01 31 55.97	+30 24 28.6
01 31 56.10	+29 50 03.5
01 31 56.12	+30 49 09.3
01 31 56.24	+31 04 42.4
01 31 56.48	+30 44 04.9
01 31 56.95	+31 16 33.3
01 31 57.04	+31 23 48.4
01 31 57.23	+30 56 05.9
01 31 57.38	+30 02 27.2
01 31 57.47	+30 23 55.0
01 31 57.52	+30 07 14.6
01 31 57.56	+30 54 18.9
01 31 57.65	+31 16 18.8
01 31 57.68	+30 03 43.6
01 31 57.73	+30 20 13.0
01 31 57.94	+31 18 40.3
01 31 57.99	+30 37 03.9
01 31 58.08	+31 04 02.7
01 31 58.22	+31 31 44.6
01 31 58.24	+30 46 32.5
01 31 58.35	+31 01 33.0
01 31 58.61	+30 44 38.6
01 31 58.85	+30 13 12.9
01 31 58.85	+30 26 03.4
01 31 58.90	+30 42 12.8
01 31 59.06	+31 31 56.8
01 31 59.22	+31 11 40.8
01 31 59.27	+29 59 28.4
01 31 59.58	+31 06 09.2
01 31 59.86	+31 28 59.3
01 31 59.95	+31 17 51.6
01 31 59.99	+30 59 39.5
01 32 00.21	+31 28 19.6
01 32 00.22	+30 05 18.3
01 32 00.26	+29 59 51.8
01 32 00.40	+31 21 22.9
01 32 00.68	+30 16 36.4
01 32 00.79	+31 06 42.2
01 32 01.03	+30 40 49.3
01 32 01.17	+30 14 53.0
01 32 01.48	+30 39 23.3
01 32 01.61	+31 22 57.4
01 32 01.75	+31 15 35.0
01 32 01.81	+31 28 59.7
01 32 01.95	+31 17 10.0
01 32 02.40	+30 47 56.3
01 32 02.43	+30 59 00.1
01 32 02.64	+30 18 20.2
01 32 02.81	+31 30 39.9
01 32 02.89	+30 55 04.7
01 32 02.91	+31 17 56.6
01 32 03.25	+30 53 09.7
01 32 03.34	+31 11 18.3
01 32 03.42	+31 22 50.3
01 32 03.50	+31 28 03.0
01 32 03.65	+29 50 26.2
01 32 03.80	+30 52 50.0
01 32 03.88	+30 25 07.7
01 32 04.08	+31 30 21.4
01 32 04.21	+31 26 22.4
01 32 04.29	+30 01 42.8
01 32 04.33	+29 51 56.6
01 32 04.69	+30 22 40.7
01 32 04.69	+30 21 50.0
01 32 05.11	+29 59 53.8
01 32 05.11	+31 16 19.1
01 32 05.16	+30 01 35.6
01 32 05.18	+30 26 08.1
01 32 05.26	+30 29 23.0
01 32 05.44	+29 50 16.5
01 32 05.67	+30 31 49.4
01 32 05.82	+31 01 38.6
01 32 05.93	+30 55 47.2
01 32 06.05	+30 55 11.5
01 32 06.20	+31 01 23.0
01 32 06.27	+31 03 24.2
01 32 06.45	+30 00 22.2
01 32 06.55	+29 54 03.7
01 32 06.64	+31 04 11.6
01 32 06.69	+30 27 46.6
01 32 07.14	+31 06 33.9
01 32 07.78	+30 35 16.0
01 32 07.83	+30 31 38.1
01 32 07.85	+31 25 11.8
01 32 08.02	+30 51 43.9
01 32 08.16	+29 49 55.3
01 32 08.48	+30 59 47.5
01 32 08.56	+31 01 48.4
01 32 08.60	+30 58 21.6
01 32 08.68	+30 51 35.8
01 32 08.75	+29 57 37.4
01 32 09.53	+31 22 41.0
01 32 09.90	+30 29 09.4
01 32 10.09	+31 26 23.4
01 32 10.23	+30 56 54.8
01 32 10.26	+29 54 38.5
01 32 10.33	+29 57 16.4
01 32 10.47	+30 05 37.2
01 32 10.47	+31 02 41.8
01 32 10.48	+31 04 03.7
01 32 10.52	+29 59 59.3
01 32 10.95	+30 25 11.6
01 32 11.43	+30 24 08.0
01 32 11.45	+30 05 28.1
01 32 11.68	+31 00 08.8
01 32 11.69	+30 58 32.2
01 32 11.73	+30 02 58.8
01 32 11.89	+30 38 29.4
01 32 12.02	+30 26 12.1
01 32 12.13	+30 15 14.9
01 32 12.21	+30 59 28.7
01 32 12.28	+31 24 29.2
01 32 12.43	+30 58 11.1
01 32 12.91	+30 13 21.0
01 32 12.99	+30 54 09.2
01 32 13.13	+30 08 51.3
01 32 13.27	+31 13 16.6
01 32 13.47	+31 25 10.5
01 32 13.66	+30 22 37.3
